#TUCAN Gradiometer B-field Measurements
#
#Scan freq: 5000 Hz
#Sample freq: 8.33 Hz
#Range of Fluxgate: 500 μ T
#Fluxgate 1 Serial No. 523
#	 x-offset: 0.5896 ± 0.0015 μ T
#	 y-offset: 0.5861 ± 0.0007 μ T
#	 z-offset: 0.4189 ± 0.0007 μ T
#Date: 2023-01-10 13:47:09.065110
#Start Time: 2023-01-10 13:44:03.010861
#End Time: 2023-01-10 13:46:59.452913
#Experimenters: Emma
#Comments: Square wave coil on, F=0.1Hz, Vpp= 5V, duty=50%, 21,5 ohm resistor in series, FG might have offset?
# 
Time,Bx (μ T),By (μ T),Bz (μ T)
2023-01-10 13:44:21.627132,20.04097344690763,-17.20241479278286,30.811889105644696
2023-01-10 13:44:22.006627,20.037892589164585,-17.20383649976668,30.811494123882767
2023-01-10 13:44:22.377056,20.0427903630125,-17.205416174193147,30.81117813847322
2023-01-10 13:44:22.749973,20.041368428669557,-17.201861906733598,30.81702386854977
2023-01-10 13:44:23.122833,20.04073645785047,-17.201309020684334,30.80793928802541
2023-01-10 13:44:23.496004,20.042553373955343,-17.203520564881387,30.8085712588445
2023-01-10 13:44:23.868946,20.037734596459813,-17.197912720667432,30.704612059104875
2023-01-10 13:44:24.244572,20.028650015935455,-17.20123003696301,30.11237640526906
2023-01-10 13:44:24.640261,20.026201129011497,-17.199176460208605,30.106688667897284
2023-01-10 13:44:25.029529,20.032362844497584,-17.199729346257868,30.106214689782973
2023-01-10 13:44:25.424868,20.02651711442104,-17.19807068811008,30.10463476273526
2023-01-10 13:44:25.813284,20.034337753307227,-17.197754753224785,30.106135693430584
2023-01-10 13:44:26.205836,20.02912399404977,-17.197438818339492,30.109137554821245
2023-01-10 13:44:26.595345,20.023515253030382,-17.19617507879832,30.110401496459417
2023-01-10 13:44:26.982703,20.031177899211798,-17.197280850896846,30.103844799211398
2023-01-10 13:44:27.364685,20.02983496122124,-17.20170393929095,30.103765802859016
