#TUCAN Gradiometer B-field Measurements
#
#Scan freq: 5000 Hz
#Sample freq: 8.33 Hz
#Range of Fluxgate: 500 μ T
#Fluxgate 1 Serial No. 523
#	 x-offset: 0.5896 ± 0.0015 μ T
#	 y-offset: 0.5861 ± 0.0007 μ T
#	 z-offset: 0.4189 ± 0.0007 μ T
#Fluxgate 2 Serial No. 2122
#	 x-offset: 0.4813 ± 0.0175 μ T
#	 y-offset: 0.5278 ± 0.0009 μ T
#Date: 2023-01-10 16:20:18.593908
#Start Time: 2023-01-10 16:16:56.142689
#End Time: 2023-01-10 16:17:42.036156
#Experimenters: Emma
#Comments: SquareCoil, 1mHz, 5V, 21.5 ohm resistor in series, FG might have offset?
# 
Time,Bx (μ T),By (μ T),Bz (μ T),Bx-2 (μ T),By-2 (μ T)
2023-01-10 16:17:01.461949,20.115230018150214,-17.308726881684038,29.538783890596278,18.115774079457513,18.12586981329241
2023-01-10 16:17:01.988224,20.111280200530928,-17.30683127237228,29.541943744691707,16.854075937693594,26.15242059160828
2023-01-10 16:17:02.460125,20.116098978026457,-17.304540744453902,29.65072172192686,14.300518846824888,26.196895538001446
2023-01-10 16:17:02.931897,20.12510456219843,-17.307463142142865,30.237190642038513,10.55907780586149,27.07862122479
2023-01-10 16:17:03.415792,20.13640104058959,-17.307700093306835,30.2405874851911,9.713959028768478,27.885316176082597
2023-01-10 16:17:03.920996,20.131266277684517,-17.308252979356098,30.235057740524095,15.54670210498025,25.943854422039475
2023-01-10 16:17:04.438504,20.143510712304305,-17.313860823570053,30.220838397094667,16.841310127148063,27.26636395586993
2023-01-10 16:17:04.936253,20.156861095857494,-17.317967977078865,30.218468506523095,15.79359730472661,28.05861837394641
2023-01-10 16:17:05.442523,20.155123176105008,-17.32381277245679,30.226368141761668,16.1802528511138,28.083328432972667
2023-01-10 16:17:05.952201,20.150146405904707,-17.323496837571497,30.231265915609583,16.173064183046698,27.967124798613256
2023-01-10 16:17:06.475019,20.149119453323692,-17.31859984684945,30.237664620152827,16.150329032830086,27.857003883387552
2023-01-10 16:17:06.885631,20.14398469041862,-17.31615135148843,30.22834305057131,16.370112684437665,27.788514045869125
2023-01-10 16:17:07.294679,20.145327628409177,-17.31117537704506,30.113798339612003,16.69696799206886,27.95134132740659
2023-01-10 16:17:07.708764,20.15172633295242,-17.311649279373,29.522431645652432,16.713304437742227,28.942682352765587
2023-01-10 16:17:08.122771,20.120522773760058,-17.291034528107616,29.53799392707242,16.567097988746717,29.223782973094966
2023-01-10 16:17:08.534698,20.13490010989426,-17.285742618778954,29.52527551433832,16.51156355301955,29.08593433818187
2023-01-10 16:17:08.946744,20.13790197128492,-17.285031765287044,29.52179967483335,16.570510631169782,28.914938833807717
2023-01-10 16:17:09.358772,20.12605251842706,-17.281398514106172,29.53649299637709,16.573875875781415,28.849024277377065
2023-01-10 16:17:09.784350,20.122813667979244,-17.288112130418654,29.544550624320436,16.611730927844654,28.83101310903312
2023-01-10 16:17:10.533497,20.13229323026553,-17.304303793289932,29.553635204844795,16.544204845825334,28.768416399402668
2023-01-10 16:17:10.963823,20.14082483632319,-17.323733788735467,29.552687248616166,16.571268996152682,28.71316635054409
2023-01-10 16:17:11.385396,20.13821795669446,-17.310780458438444,29.546446536777694,16.548138864174142,28.594229442392134
2023-01-10 16:17:11.845542,20.14248375972329,-17.300828509551707,29.55189728509231,16.53001710093686,28.501519323232245
2023-01-10 16:17:12.276417,20.15156834024765,-17.310622490995797,29.650010754755385,16.462254029860375,28.58264857713239
2023-01-10 16:17:12.707128,20.149198449676078,-17.32784094224428,30.248487120429672,16.46849474169885,29.164930690567598
2023-01-10 16:17:13.135823,20.15433321258115,-17.338661712065573,30.245801244448558,16.605995792661453,29.22487312275789
2023-01-10 16:17:13.564602,20.15970496454338,-17.34411158883688,30.24856611678206,16.634639870036516,29.318546997416888
2023-01-10 16:17:13.996916,20.158283030200437,-17.34505939349276,30.25030403653454,16.561426050645423,29.322781201904764
2023-01-10 16:17:14.424116,20.15006740955232,-17.344506507443498,30.247855149610587,16.563385160184588,29.338706866545724
2023-01-10 16:17:14.872145,20.146433577342577,-17.339451549278806,30.24769715690582,16.62133688429476,29.3854569078876
2023-01-10 16:17:15.314594,20.14358970865669,-17.34261089813174,30.24548525903901,16.54815466344462,29.385599101321898
2023-01-10 16:17:15.762165,20.147460529923592,-17.34885061211628,30.25038303288693,16.527710407447195,29.411304514388213
2023-01-10 16:17:16.206363,20.154570201638307,-17.344506507443498,30.245722248096175,16.465650873012965,29.372706896612545
2023-01-10 16:17:16.649506,20.14714454451405,-17.343163784181,30.249435076658298,16.583718821288677,29.26922167498724
2023-01-10 16:17:17.096985,20.147460529923592,-17.341742077197182,30.248645113134444,17.01189485048981,29.196387038087597
2023-01-10 16:17:17.540500,20.143747701361463,-17.348692644673633,30.12359388730783,17.064885603670156,29.054162005252326
2023-01-10 16:17:18.057621,20.13624304788482,-17.350193335378776,29.554346172016267,17.102914447708642,28.491107603987803
